Longitude,Latitude,PB_Cetin_Uncorr_Strain,PB_IandY_Uncorr_Strain,PB_Seismic_Slope_Disp_RandS,PB_Seismic_Slope_Disp_BandT
-120.272,42.271,0,0,0.5,0.5
-120.176,42.268,0,0,0.5,0.5
-120.079,42.266,0,0,0.5,0.5
-119.982,42.263,0,0,0.5,0.5
-119.885,42.261,0,0,0.5,0.5
-119.788,42.258,0,0,0.5,0.5
-119.691,42.255,0,0,0.5,0.5
-119.594,42.252,0,0,0.5,0.5
-119.498,42.249,0,0,0.5,0.5
-119.401,42.246,0,0,0.5,0.5
-119.014,42.234,0,0,0.5,0.5
-118.917,42.23,0,0,0.5,0.5
-118.82,42.227,0,0,0.5,0.5
-118.724,42.223,0,0,0.5,0.5
-118.627,42.22,0,0,0.5,0.5
-118.53,42.216,0,0,0.5,0.5
-118.434,42.212,0,0,0.5,0.5
-118.337,42.208,0,0,0.5,0.5
-118.241,42.204,0,0,0.5,0.5
-118.144,42.2,0,0,0.5,0.5
-118.048,42.196,0,0,0.5,0.5
-117.951,42.192,0,0,0.5,0.5
-117.855,42.187,0,0,0.5,0.5
-117.758,42.183,0,0,0.5,0.5
-122.989,42.375,3.77E-03,0,0.5,1.105794768
-122.891,42.375,2.50E-03,0,0.5,0.974976912
-122.794,42.375,1.02E-03,0,0.5,0.915699325
-122.697,42.375,1.23E-03,0,0.5,0.903842436
-122.6,42.374,1.24E-03,0,0.5,0.944934892
-122.503,42.374,1.11E-03,0,0.5,1.028436424
-122.406,42.373,2.68E-03,0,0.5,1.182676206
-122.308,42.373,3.84E-03,0,0.5,1.433476904
-121.726,42.368,2.32E-03,0,0.5,1.538247215
-121.628,42.367,1.71E-03,0,0.5,1.104980655
-121.531,42.366,0,0,0.5,0.826156387
-121.434,42.364,0,0,0.5,0.646647188
-121.337,42.363,0,0,0.5,0.515512121
-121.24,42.362,0,0,0.5,0.5
-121.143,42.36,0,0,0.5,0.5
-121.046,42.358,0,0,0.5,0.5
-120.949,42.357,0,0,0.5,0.5
-120.852,42.355,0,0,0.5,0.5
-120.755,42.353,0,0,0.5,0.5
-120.657,42.351,0,0,0.5,0.5
-120.56,42.349,0,0,0.5,0.5
-120.463,42.347,0,0,0.5,0.5
-120.366,42.345,0,0,0.5,0.5
-120.269,42.343,0,0,0.5,0.500874952
-120.172,42.34,0,0,0.5,0.5
-120.075,42.338,0,0,0.5,0.5
-119.978,42.335,0,0,0.5,0.5
-119.881,42.333,0,0,0.5,0.5
-119.784,42.33,0,0,0.5,0.5
-119.688,42.327,0,0,0.5,0.5
-119.591,42.324,0,0,0.5,0.5
-119.494,42.321,0,0,0.5,0.5
-118.913,42.302,0,0,0.5,0.5
-118.816,42.299,0,0,0.5,0.5
-118.719,42.295,0,0,0.5,0.5
-118.622,42.291,0,0,0.5,0.5
-118.525,42.288,0,0,0.5,0.5
-118.429,42.284,0,0,0.5,0.5
-118.332,42.28,0,0,0.5,0.5
-118.235,42.276,0,0,0.5,0.5
-118.139,42.272,0,0,0.5,0.5
-118.042,42.268,0,0,0.5,0.5
-117.945,42.263,0,0,0.5,0.5
-117.849,42.259,0,0,0.5,0.5
-117.752,42.255,0,0,0.5,0.5
